name	count	percent_male	percent_female
marios	94	1	0
marcuz	24	1	0
marcin	433	1	0
marcas	219	1	0
maor	106	1	0
mantra	10	1	0
mansa	52	1	0
manit	34	1	0
manhattan	70	0.07142857142857142	0.9285714285714286
manaf	12	1	0
mamoudou	68	1	0
mali	984	0.03861788617886179	0.9613821138211383
malaky	56	1	0
malacki	56	1	0
makia	1335	0.020973782771535582	0.9790262172284644
makaveli	66	1	0
makarius	5	1	0
makarios	71	1	0
makaius	5	1	0
makahi	53	1	0
majur	10	1	0
majic	5	1	0
majestic	318	0.3270440251572327	0.6729559748427673
mailo	5	1	0
mahrus	5	1	0
mahmud	140	1	0
mahith	15	1	0
mahan	28	1	0
mahadev	10	1	0
maged	22	1	0
magdaleno	972	1	0
macrae	122	1	0
mackinnon	30	1	0
mackie	1561	0.6367713004484304	0.3632286995515695
maasai	26	1	0
maanav	113	1	0
lyrix	20	0.5	0.5
lydon	205	1	0
luziano	5	1	0
luthor	5	1	0
luqmaan	42	1	0
luna	17745	0.001521555367709214	0.9984784446322907
lucy	189626	0.0032748673705082637	0.9967251326294917
luchiano	84	1	0
luar	10	1	0
loucas	18	1	0
lot	62	1	0
loreto	464	0.9655172413793104	0.034482758620689655
loran	4493	0.819719563765858	0.180280436234142
lonzell	466	1	0
londell	640	1	0
logic	12	1	0
locklin	11	1	0
lochlin	58	1	0
llewelyn	82	1	0
little	1786	0.8779395296752519	0.12206047032474804
liridon	44	1	0
lionardo	123	1	0
lindan	31	1	0
librado	1249	1	0
liamjames	22	1	0
li	364	0.31043956043956045	0.6895604395604396
levell	748	1	0
leovardo	252	1	0
leovani	5	1	0
leoh	5	1	0
lenyx	74	0.21621621621621623	0.7837837837837838
lennie	7353	0.386780905752754	0.6132190942472461
lennex	52	0.5961538461538461	0.40384615384615385
lendell	684	1	0
lelynd	70	1	0
lelyn	22	1	0
lelend	99	1	0
lejuan	202	1	0
lejon	235	1	0
lejend	23	1	0
leigham	17	1	0
leiby	44	1	0
legen	13	1	0
leeson	21	1	0
lazavion	22	1	0
layn	74	1	0
laydon	77	1	0
lawrance	2625	1	0
lawerence	4818	1	0
lawaia	10	1	0
lavontay	103	1	0
laveon	5	1	0
lavance	247	1	0
laughlin	5	1	0
latre	33	1	0
lathon	88	1	0
latavius	156	1	0
lason	106	1	0
laroy	1300	1	0
larken	62	0.08064516129032258	0.9193548387096774
larion	10	1	0
lannon	10	1	0
lanier	1095	0.9068493150684932	0.09315068493150686
landyon	5	1	0
landy	825	0.7163636363636363	0.28363636363636363
landree	486	0.02263374485596708	0.977366255144033
landers	77	1	0
lamond	712	1	0
lamon	1424	1	0
lamberto	308	1	0
lakayden	10	1	0
laityn	117	0.042735042735042736	0.9572649572649573
laiton	18	1	0
laithen	38	1	0
laike	10	1	0
laden	81	1	0
ladarrian	106	1	0
ladarion	325	1	0
lacy	25850	0.24990328820116053	0.7500967117988394
labron	400	1	0
labrandon	216	1	0
kyzin	5	1	0
kyvin	21	1	0
kyven	26	1	0
kyrion	36	1	0
kyric	11	1	0
kyrein	5	1	0
kymiere	5	1	0
kymier	22	1	0
kylie	101510	0.004255738350901389	0.9957442616490986
kylenn	30	0.43333333333333335	0.5666666666666667
kyeden	5	1	0
kydon	39	1	0
kwadwo	208	1	0
kveon	84	1	0
kuno	10	1	0
ku	33	0.8181818181818182	0.18181818181818182
krystof	15	1	0
kronos	5	1	0
kristyan	20	0.75	0.25
krishnav	5	1	0
kouta	27	1	0
kouper	71	1	0
kostas	330	1	0
kosi	12	1	0
kordale	38	1	0
kolsten	16	1	0
kollier	10	1	0
kollen	100	1	0
koleman	164	1	0
kolbin	16	1	0
koki	113	1	0
kobyn	70	1	0
kobee	236	0.885593220338983	0.11440677966101695
ko	59	0.8305084745762712	0.1694915254237288
knute	676	1	0
knoxley	11	1	0
knoll	5	1	0
knixon	22	1	0
kmarion	79	1	0
klinton	568	1	0
klint	741	1	0
kiyoshi	1143	0.9912510936132983	0.008748906386701663
kirtan	134	1	0
kiro	17	1	0
kirian	15	0.6666666666666666	0.3333333333333333
kire	90	0.9444444444444444	0.05555555555555555
kipling	293	1	0
kinzler	5	1	0
kinzer	15	1	0
kinsey	7016	0.04204675028506271	0.9579532497149373
kino	190	1	0
kingmichael	12	1	0
kingisaiah	5	1	0
kingg	5	1	0
